Player,Team,W,L,ERA,APP,GS,CG,SHO,SV,IP,H,R,ER,BB,SO,WP,HP,OBA
Noah Niznik,Southeast Missouri State,3,4,3.63,13,13,1,0,0,62,59,28,25,17,49,4,2,0.248
Allen Barry,Davidson,7,3,3.63,12,11,0,0,0,57,53,28,23,19,64,5,3,0.24
Brendan Beck,Stanford,5,4,3.63,17,16,0,0,0,91.2,102,41,37,25,83,2,3,0.28
Josh Hudson,Davidson,5,2,3.64,14,12,0,0,0,69.1,66,33,28,26,66,9,6,0.242
Eddie Kutt,Ohio,3,5,3.64,23,8,0,0,1,76.2,71,42,31,30,67,0,0,0.257
Jacob Schultz,Louisiana,2,3,3.65,23,7,0,0,2,66.2,61,34,27,32,60,13,9,0.239
Cyrillo Watson,Illinois,5,2,3.65,13,13,0,0,0,69,65,32,28,39,49,5,8,0.253
Chandler Fidel,Little Rock,5,4,3.65,16,15,2,0,0,101,91,47,41,31,101,1,16,0.235
Roman Angelo,CSU Bakersfield,3,1,3.66,20,4,0,0,1,64,51,36,26,28,51,4,12,0.22
Kyle Brnovich,Elon,7,3,3.66,14,14,0,0,0,86,66,42,35,42,110,8,9,0.208
Justin Lasko,Massachusetts,3,7,3.67,14,14,4,2,0,88.1,80,41,36,26,82,5,8,0.236
Logan Wiley,Missouri State,5,5,3.67,15,15,1,0,0,90.2,92,44,37,22,82,2,12,0.261
Colby Wyatt,Cornell,3,6,3.68,13,10,0,0,0,63.2,73,36,26,18,35,4,5,0.3
Luke Taggart,Incarnate Word,7,5,3.68,19,8,0,0,1,88,82,41,36,17,76,5,3,0.246
Edgar Barclay,CSU Bakersfield,6,4,3.69,16,14,2,2,1,90.1,79,45,37,28,111,5,15,0.232
Connor Lunn,Southern California,7,4,3.69,15,11,1,1,1,83,68,36,34,27,79,5,3,0.219
Charlie Connolly,Navy,4,3,3.69,14,12,0,0,1,61,41,27,25,39,70,8,5,0.196
Ken Waldichuk,Saint Mary's,5,6,3.69,15,15,0,0,0,92.2,74,45,38,32,106,4,11,0.22
Brett Erwin,UC Davis,5,5,3.7,14,12,0,0,0,73,76,36,30,23,29,6,10,0.271
Hunter Wolfe,Dayton,9,4,3.7,16,14,1,0,1,90,71,39,37,38,92,9,9,0.223
Seth Lonsway,Ohio State,8,4,3.7,17,17,1,1,0,92.1,74,47,38,59,126,19,3,0.214
Jackson Dean,Presbyterian,6,5,3.7,19,13,2,0,0,92.1,121,47,38,14,50,5,9,0.318
Reid Johnston,NC State,6,2,3.71,17,14,1,1,0,77.2,80,40,32,27,65,2,6,0.266
Grey Lyttle,High Point,7,3,3.72,17,4,0,0,3,58,36,27,24,25,65,5,6,0.176
Cody Maw,Charleston Southern,4,5,3.74,15,13,0,0,0,84.1,76,42,35,13,62,0,0,0.251
Jacob Key,Illinois-Chicago,7,8,3.75,16,16,2,0,0,105.2,102,55,44,25,90,5,5,0.246
Noah Skirrow,Liberty,5,6,3.76,16,15,0,0,0,76.2,64,40,32,35,98,3,7,0.23
Mitchell Holcomb,Pennsylvania,6,1,3.76,10,9,1,0,0,64.2,66,37,27,28,51,4,7,0.264
Trey Jeans,UL Monroe,5,8,3.76,15,15,1,0,0,79,61,40,33,37,69,6,7,0.213
Anthony Maldonado,Bethune-Cookman,4,5,3.76,14,13,2,1,0,81.1,62,38,34,30,97,7,7,0.207
Sam Lund,Bradley,5,4,3.76,15,13,0,0,0,55,50,27,23,16,44,7,4,0.243
Beau Keathley,Oakland,3,7,3.77,14,12,1,1,0,71.2,47,38,30,42,83,3,22,0.189
R.J. Wagner,Dayton,5,3,3.78,17,8,0,0,0,66.2,63,38,28,16,61,7,7,0.248
Ryne Moore,Old Dominion,6,4,3.78,16,13,1,1,1,83.1,82,40,35,24,57,3,12,0.258
Colin Donnelly,Quinnipiac,6,1,3.79,29,1,0,0,1,59.1,62,27,25,19,51,4,5,0.263
Landon Mitchell,Gardner-Webb,7,6,3.8,15,11,1,0,0,83,96,42,35,27,70,10,3,0.289
Peyton Plumlee,Mississippi State,7,5,3.8,21,16,0,0,0,85.1,67,40,36,28,68,9,9,0.211
Reid Morgan,South Carolina,4,6,3.8,14,14,0,0,0,87.2,97,49,37,17,70,5,4,0.276
Billy Corcoran,Pittsburgh,2,6,3.8,20,11,0,0,0,68.2,64,37,29,26,54,5,8,0.247
Justin Goossen-Brown,San Diego State,6,5,3.8,20,14,1,1,0,94.2,93,50,40,27,73,8,11,0.259
Jordan DiValerio,Saint Joseph's,5,5,3.81,12,12,0,0,0,73.1,65,40,31,19,67,0,1,0.241
Cj Van Eyk,Florida State,10,4,3.81,18,18,0,0,0,99.1,89,46,42,41,129,6,7,0.234
Bryce Jarvis,Duke,5,2,3.81,19,11,0,0,1,75.2,70,38,32,37,94,11,5,0.239
Mitchell Tyranski,Michigan State,4,7,3.81,15,10,1,0,0,78,82,43,33,18,89,7,1,0.272
Tanner Gordon,Indiana,6,6,3.81,16,16,0,0,0,87.1,71,42,37,19,90,4,9,0.218
Isaac Coffey,Oral Roberts,3,2,3.82,14,14,1,0,0,61.1,61,30,26,17,56,0,0,0.27
Derek West,Pittsburgh,3,2,3.82,18,10,0,0,0,68.1,69,38,29,29,82,4,3,0.259
Bobby Miller,Louisville,7,1,3.83,20,12,0,0,2,80,59,36,34,38,86,8,8,0.204
Tyler Poulin,Quinnipiac,7,2,3.83,15,15,0,0,0,87,86,48,37,30,82,6,6,0.251
Seth Shuman,Georgia Southern,6,5,3.83,16,16,0,0,0,91.2,81,47,39,27,114,4,12,0.234
Tyler Morgan,Longwood,2,6,3.83,10,10,1,0,0,56.1,53,33,24,27,71,7,2,0.243
Shane Burns,Murray State,3,3,3.84,13,12,0,0,0,65.2,55,35,28,27,60,2,4,0.224
Darren Kelly,Alabama State,6,3,3.84,13,13,2,0,0,70.1,49,34,30,20,64,2,9,0.192
Dalton Stambaugh,Morehead State,7,4,3.84,15,15,2,1,0,91.1,78,47,39,29,104,3,6,0.23
Zack Ridgely,Radford,4,3,3.86,15,15,0,0,0,81.2,84,46,35,19,50,2,8,0.261
Brandon Walter,Delaware,5,6,3.86,14,14,0,0,0,86.1,73,40,37,30,106,5,14,0.235
Tom Curtin,Central Connecticut,6,3,3.86,15,15,1,0,0,95.2,105,50,41,25,53,0,0,0.29
Collin Sullivan,South Florida,4,5,3.86,14,14,2,1,0,81.2,63,38,35,40,73,9,5,0.213
Tyler Baum,North Carolina,7,3,3.87,17,16,0,0,0,93,94,44,40,25,99,12,5,0.26
Dustin Lacaze,Texas A&M-Corpus Christi,4,5,3.87,16,13,0,0,0,79,65,39,34,37,81,7,6,0.225
Easton Lucas,Pepperdine,5,4,3.87,13,12,1,0,0,76.2,73,33,33,16,71,5,5,0.252
Rob Hensey,Monmouth,4,5,3.88,14,12,0,0,0,62.2,53,29,27,23,51,1,7,0.233
Joshua South,Belmont,4,5,3.89,14,14,2,1,0,90.1,92,43,39,22,77,4,5,0.276
Connor Lehmann,Saint Louis,5,6,3.89,15,15,1,0,0,81,84,42,35,34,111,7,11,0.268
Clayton McGinness,Wichita State,6,4,3.89,18,10,1,0,0,74,77,34,32,25,57,5,1,0.267
Nick Mikolajchak,Sam Houston,5,4,3.9,23,7,0,0,7,64.2,64,35,28,17,76,2,4,0.249
Nate Pawelczyk,Winthrop,9,4,3.9,15,14,2,0,0,92.1,90,49,40,29,83,8,17,0.253
Kumar Nambiar,Yale,3,2,3.9,10,10,2,0,0,60,57,29,26,26,57,0,0,0.26
Kevin Coulter,Mercer,5,3,3.9,21,12,0,0,3,83,104,41,36,19,66,6,6,0.313
Nick MacDonald,Florida International,4,5,3.91,14,14,0,0,0,76,97,53,33,18,68,13,4,0.312
Davis Moore,Fresno State,10,1,3.91,16,15,2,0,0,89.2,85,40,39,34,91,3,12,0.253
Ricky DeVito,Seton Hall,2,5,3.92,12,12,0,0,0,64.1,73,31,28,31,68,8,10,0.293
Noah Sills,Lamar,3,6,3.92,16,13,1,0,0,82.2,76,43,36,18,56,4,8,0.245
Ryan Pepiot,Butler,4,4,3.92,14,14,1,0,0,78,55,40,34,44,126,9,15,0.203
Caleb Kilian,Texas Tech,8,3,3.92,17,17,1,1,0,96.1,86,44,42,20,89,7,11,0.243
Sam Bachman,Miami (OH),7,1,3.93,15,14,0,0,0,75.2,64,36,33,39,75,8,17,0.229
Robert Ahlstrom,Oregon,5,7,3.93,16,10,0,0,0,73.1,70,37,32,20,61,0,0,0.262
Eric Mock,Penn State,2,4,3.94,12,12,0,0,0,66.1,55,32,29,27,77,7,10,0.219
Isaac Esqueda,Southern California,3,5,3.94,15,13,0,0,0,64,59,35,28,37,57,6,2,0.248
Michael Lasiewicz,Northern Illinois,6,4,3.94,13,13,1,1,0,75.1,70,39,33,39,77,3,5,0.256
Evan Lumbert,Florida Gulf Coast,6,3,3.95,14,13,0,0,0,73,66,35,32,39,64,10,11,0.236
Rhett Deaton,McNeese,8,4,3.95,16,16,1,0,0,95.2,83,47,42,35,58,6,6,0.239
Conor Grammes,Xavier,5,5,3.95,14,14,0,0,0,68.1,48,38,30,46,79,8,16,0.199
Pauly Milto,Indiana,8,6,3.95,16,16,0,0,0,107,110,49,47,17,100,6,7,0.265
Garrett Burhenn,Ohio State,6,4,3.96,15,15,0,0,0,91,95,45,40,31,69,9,5,0.275
Ian Seymour,Virginia Tech,4,5,3.97,13,13,1,0,0,70.1,71,36,31,24,81,3,4,0.258
Eric Miles,Presbyterian,7,4,3.97,15,13,2,0,0,93,102,47,41,20,84,5,6,0.275
Grant Schuermann,UCF,6,5,3.97,15,15,1,0,0,90.2,85,46,40,21,56,1,1,0.25
Ryan Zeferjahn,Kansas,5,2,3.97,15,15,0,0,0,88.1,60,43,39,44,107,5,16,0.193
Franco Aleman,Florida International,3,5,3.98,14,12,1,0,0,65.2,76,35,29,20,53,6,9,0.298
Ridge Heisler,Northwestern State,4,6,3.98,15,15,1,0,0,95,107,50,42,28,69,5,7,0.288
Tyler Giovinco,Army,8,6,3.98,16,16,2,0,0,92.2,103,51,41,21,66,5,8,0.283
Chris Durham,Memphis,4,4,3.98,14,13,0,0,0,72.1,78,38,32,24,75,5,3,0.27
Scott Parker,San Francisco,8,3,3.99,14,13,0,0,0,70,76,40,31,21,59,3,4,0.278
Brendan McGuigan,Richmond,3,4,3.99,14,13,0,0,0,70,63,46,31,29,84,4,13,0.233
Josh Burgmann,Washington,4,6,3.99,14,14,1,0,0,79,88,43,35,22,101,4,3,0.278
Jonathan Mahoney,Norfolk State,6,4,3.99,14,13,2,1,0,88,101,49,39,32,74,5,14,0.285
Nick Avila,Long Beach State,0,5,3.99,12,8,0,0,0,56.1,56,37,25,19,38,6,4,0.252
Michael Sansone,Fairfield,5,3,4,15,14,4,0,0,83.1,80,39,37,15,63,4,3,0.256
Josh Seils,Towson,2,8,4,13,13,0,0,0,78.2,74,44,35,32,56,13,8,0.254
Samuel Strickland,Samford,7,3,4.01,15,15,0,0,0,69.2,79,38,31,20,57,2,3,0.287
Aaron Eden,San Diego State,4,2,4.01,18,12,0,0,0,74,90,38,33,19,41,3,6,0.307
Garrett Crochet,Tennessee,5,3,4.02,18,6,0,0,3,65,67,35,29,22,81,2,6,0.268
Dylan Hathcock,Jacksonville State,3,0,4.02,19,16,0,0,0,65,74,37,29,24,34,7,4,0.3
Zach Peek,Winthrop,7,3,4.02,14,14,2,1,0,87.1,80,45,39,35,91,12,9,0.243
Connor Noland,Arkansas,3,5,4.02,20,19,0,0,0,78.1,73,42,35,14,55,4,3,0.244
Matt Eardensohn,Coastal Carolina,6,1,4.02,25,3,0,0,1,69.1,73,37,31,22,65,1,5,0.272
Spencer Mraz,Miami (OH),5,6,4.03,15,13,0,0,1,76,67,43,34,29,72,2,15,0.238
Micah Dallas,Texas Tech,7,2,4.03,19,13,0,0,0,76,74,38,34,28,84,12,2,0.26
Joesph Adametz,Liberty,7,2,4.04,16,15,0,0,0,78,85,43,35,27,56,3,5,0.289
Nick Rand,UMass Lowell,5,6,4.04,16,16,1,0,0,91.1,81,46,41,54,81,6,8,0.238
Evan Gates,North Carolina A&T,4,4,4.05,17,11,0,0,1,66.2,58,35,30,24,65,6,3,0.228
Hunter Gregory,Old Dominion,7,3,4.05,28,1,0,0,2,60,61,31,27,24,85,11,4,0.262
Nick Pantos,Old Dominion,5,3,4.05,16,13,0,0,0,80,63,41,36,39,74,7,22,0.22
Declan Cronin,Holy Cross,6,4,4.06,15,10,0,0,0,71,78,40,32,31,61,9,5,0.277
Brendan Bell,North Carolina Central,2,4,4.06,19,8,0,0,0,51,49,34,23,20,37,2,7,0.247
Matt Mikulski,Fordham,6,6,4.06,18,14,0,0,0,82,71,41,37,41,89,0,0,0.243
Mike Edwards,Milwaukee,4,4,4.06,13,11,1,0,0,68.2,75,40,31,29,45,8,3,0.283
Jake Prizina,Seattle,4,4,4.07,12,11,1,1,0,66.1,69,32,30,14,45,4,6,0.27
Alex Hicks,Memphis,4,3,4.07,16,15,0,0,0,84,95,44,38,19,88,7,9,0.282
Paxton Schultz,Utah Valley,1,7,4.08,15,15,1,0,0,99.1,101,63,45,34,99,5,5,0.26
Harry Rutkowski,Rutgers,2,6,4.08,14,14,0,0,0,81.2,94,42,37,25,83,6,6,0.287
TJ Stuart,Manhattan,8,5,4.08,16,12,8,1,1,86,76,46,39,40,86,4,2,0.232
Nic McCay,South Dakota State,6,1,4.08,14,14,2,1,0,79.1,69,39,36,30,83,5,5,0.229
Jordan Merritt,The Citadel,3,8,4.09,15,15,2,0,0,90.1,111,53,41,17,70,4,9,0.305
Devon Roedahl,Houston,7,2,4.09,30,1,0,0,4,61.2,54,35,28,23,60,1,5,0.228
Drake Fellows,Vanderbilt,13,2,4.09,19,19,2,1,0,116.2,111,57,53,47,133,17,17,0.249
Ryan Froom,South Dakota State,6,5,4.09,16,15,0,0,0,77,78,50,35,45,50,10,10,0.259
Blake Sanderson,Florida Atlantic,8,3,4.1,17,16,1,0,0,96.2,114,49,44,25,75,5,10,0.291
Darius Vines,CSU Bakersfield,5,3,4.1,13,13,0,0,0,74.2,69,36,34,26,98,12,0,0.246
Robbie Peto,Stetson,1,9,4.1,16,15,1,0,0,74.2,76,48,34,28,78,2,3,0.259
Ben Brecht,UC Santa Barbara,10,2,4.1,16,16,0,0,0,90,90,49,41,18,101,0,0,0.27
Alex Pansini,Marist,5,4,4.1,16,13,1,0,1,83.1,86,42,38,18,70,8,8,0.259
Andrew Sipowicz,Canisius,6,2,4.11,15,13,0,0,0,87.2,89,42,40,15,71,3,11,0.26
Buddy Hayward,Harvard,4,1,4.13,9,8,2,0,0,48,41,25,22,20,47,0,0,0.24
Chris Micheles,Washington,6,2,4.13,34,0,0,0,0,52.1,37,28,24,28,76,1,2,0.201
Riley Ornido,San Francisco,6,6,4.13,14,14,0,0,0,80.2,80,49,37,43,74,11,10,0.256
Jimmy Kingsbury,Villanova,5,5,4.13,19,10,1,1,1,85,75,41,39,35,66,7,10,0.239
John Cain,Manhattan,9,4,4.13,15,15,0,0,0,98,107,53,45,35,96,8,2,0.276
Tony Romanelli,Marist,7,3,4.14,15,15,3,0,0,74,71,41,34,37,79,10,9,0.253
Cody Carroll,Southern Miss,3,3,4.14,27,3,0,0,1,63,73,33,29,18,50,2,5,0.285
Timothy Josten,Cal State Fullerton,3,4,4.14,19,8,0,0,0,67.1,65,34,31,23,51,0,0,0.264
Austen Bullington,Tennessee-Martin,4,8,4.15,16,15,2,0,0,84.2,91,50,39,26,49,5,9,0.275
Jacob Menders,VMI,5,5,4.15,16,16,1,0,0,89,91,47,41,30,52,5,11,0.265
Slade Cecconi,Miami,5,4,4.16,17,13,0,0,0,80,79,44,37,18,89,3,7,0.249
Mitch Ragan,Creighton,8,3,4.17,17,17,1,0,0,99.1,96,52,46,18,95,5,6,0.25
Casey Queener,Belmont,6,3,4.17,15,15,1,0,0,90.2,76,46,42,36,119,8,12,0.235
Hayden Arnold,Little Rock,5,3,4.17,20,10,0,0,1,69,65,40,32,26,68,7,2,0.243
Nikelle Galatas,Jackson State,7,5,4.17,22,15,3,0,2,105.2,97,59,49,36,81,4,17,0.238
Ben Wereski,Columbia,4,3,4.18,10,10,0,0,0,51.2,48,25,24,33,53,6,2,0.244
Kyle Griffen,Louisiana Tech,7,4,4.19,34,4,0,0,0,58,67,29,27,20,36,1,9,0.302
Cameron Junker,Notre Dame,3,5,4.19,15,15,0,0,0,77.1,67,40,36,40,73,15,5,0.234
Brandon Williamson,TCU,4,5,4.19,16,16,0,0,0,77.1,82,50,36,36,89,6,3,0.267
David Dunlavey,Furman,5,7,4.19,15,15,2,1,0,88,79,48,41,36,77,4,11,0.239
Connor Wollersheim,Kent State,6,6,4.2,15,15,1,0,0,83.2,79,50,39,39,97,7,6,0.241
Noah Thompson,Seton Hall,4,3,4.2,13,13,1,0,0,64.1,46,32,30,29,73,1,11,0.206
Brady Batten,Houston Baptist,3,5,4.2,14,14,1,0,0,85.2,94,46,40,40,54,2,8,0.287
Josh Rye,Austin Peay,7,3,4.22,16,14,0,0,0,68.1,67,37,32,29,66,0,3,0.257
Logan Pouelsen,Hawaii,3,3,4.22,16,9,0,0,0,53.1,54,34,25,14,32,2,6,0.261
Mario Lopez,Jackson State,5,4,4.23,23,2,0,0,1,61.2,69,34,29,13,39,4,9,0.29
Justin Beyer,Wagner,3,4,4.24,17,5,0,0,0,51,53,38,24,25,44,7,15,0.269
Tommy Miller,Siena,5,4,4.24,14,14,3,0,0,91.1,117,61,43,32,80,2,6,0.316
Andrew Gottfried,High Point,2,5,4.24,14,12,1,0,0,57.1,64,34,27,16,47,4,3,0.277
Levi Thomas,Troy,8,2,4.24,15,15,0,0,0,80.2,79,39,38,31,87,2,7,0.254
Tyler Miller,Incarnate Word,7,3,4.24,19,9,0,0,1,63.2,64,33,30,21,65,5,8,0.266
Ben Abram,Oklahoma,6,4,4.24,15,13,0,0,0,63.2,66,32,30,16,52,0,0,0.279
Shane Gray,Evansville,3,1,4.25,22,4,0,0,0,53,50,27,25,17,44,4,1,0.255
Brandon Fox,Central Connecticut,3,6,4.25,16,15,1,0,0,89,118,58,42,24,44,0,0,0.329
Trever Kilcrease,Nicholls,3,5,4.25,14,14,0,0,0,78.1,65,39,37,33,62,7,5,0.229
Layne Schnitz-Paxton,Toledo,2,6,4.26,11,11,0,0,0,61.1,56,34,29,31,47,0,0,0.253
Tyler Owens,Georgia Southern,7,1,4.26,14,13,0,0,0,63.1,71,38,30,18,53,3,4,0.277
Bailey Dees,Penn State,2,1,4.27,13,11,0,0,0,52.2,54,27,25,17,60,1,6,0.263
Mason Meyer,Liberty,6,4,4.28,21,15,0,0,1,80,80,39,38,33,60,5,4,0.262
Nathan Croner,Evansville,5,6,4.28,15,13,0,0,0,82,85,47,39,30,65,4,9,0.263
Trey Van Der Weide,USC Upstate,2,4,4.29,17,9,1,0,0,71.1,66,42,34,26,63,5,3,0.244
Ryne Nelson,Oregon,3,4,4.29,23,4,0,0,4,65,60,37,31,41,104,0,0,0.255
Jimmy Winston,Baylor,5,3,4.3,19,11,0,0,0,73.1,65,38,35,32,45,4,8,0.242
Jackson Parthasarathy,Rice,4,8,4.32,16,14,0,0,0,73,81,43,35,23,68,11,6,0.276
Nick Gallagher,Binghamton,4,6,4.32,16,15,0,0,0,81.1,76,41,39,38,82,2,14,0.248
Patrick Wicklander,Arkansas,6,2,4.32,22,15,0,0,0,66.2,50,35,32,37,90,5,11,0.209
Mason Feole,Connecticut,3,4,4.33,14,14,0,0,0,77,73,40,37,46,83,12,9,0.245
Tanner Bibee,Cal State Fullerton,5,7,4.33,15,15,1,0,0,95.2,110,50,46,29,80,0,0,0.3
Andrew Gnazzo,Princeton,4,4,4.33,11,9,1,0,0,62.1,71,35,30,29,58,9,9,0.291
Brian Marconi,George Mason,3,8,4.33,14,13,0,0,0,81,73,43,39,45,60,7,7,0.252
David Moffat,UT Arlington,4,4,4.33,16,16,1,0,0,81,89,53,39,18,52,3,3,0.27
Abbott Haffar,UC Riverside,4,3,4.35,21,8,0,0,1,70.1,90,49,34,26,54,9,8,0.311
Tyler Tuthill,Appalachian State,6,7,4.36,14,14,1,1,0,74.1,62,46,36,33,60,3,7,0.224
Ridge Walker,Norfolk State,4,6,4.37,15,13,1,0,0,68,82,58,33,35,40,6,10,0.292
Javin Drake,Western Illinois,7,6,4.37,17,16,2,1,0,103,98,53,50,42,109,3,10,0.254
Jason Parker,NC State,4,4,4.38,16,16,0,0,0,76,78,40,37,30,70,4,11,0.269
Brooks Gosswein,Bradley,4,4,4.38,16,11,0,0,0,63.2,50,36,31,36,51,11,11,0.223
Noah Thompson,Lipscomb,4,5,4.39,14,14,1,1,0,80,65,46,39,40,55,5,5,0.221
Brock Whittlesey,New Mexico State,8,2,4.4,18,14,1,1,1,90,88,47,44,35,79,1,7,0.256
Ben Gross,Duke,8,4,4.4,20,13,0,0,0,75.2,63,37,37,35,76,2,5,0.232
Nick Bennett,Louisville,7,3,4.4,16,16,0,0,0,77.2,77,43,38,32,76,2,4,0.256
Nathan Wiles,Oklahoma,8,4,4.4,15,15,0,0,0,94,103,50,46,18,83,0,0,0.289
Paul Dickens,Baylor,6,2,4.41,16,13,0,0,0,79.2,70,43,39,33,96,2,4,0.233
Evan McKendry,Miami,7,2,4.41,13,13,0,0,0,67.1,70,39,33,19,72,3,6,0.259
Jace Warkentien,Western Illinois,3,4,4.41,18,11,0,0,3,87.2,91,51,43,41,74,5,2,0.27
David Festa,Seton Hall,3,4,4.42,14,10,0,0,0,53,49,28,26,25,58,7,6,0.249
Bret Clarke,Stony Brook,8,1,4.42,14,13,0,0,0,71.1,66,39,35,41,51,5,5,0.252
Jarrod Billig,Seattle,4,4,4.43,18,9,0,0,0,61,64,40,30,33,39,10,3,0.271
Dalton Gomez,Nevada,5,2,4.43,19,9,0,0,0,61,65,35,30,26,39,5,3,0.283
Jesse Bergin,UCLA,5,0,4.43,17,15,0,0,0,67,57,35,33,25,76,2,4,0.23
Mason Knopp,Southeastern Louisiana,8,2,4.44,16,11,1,0,0,69,64,36,34,22,53,4,4,0.248
Cory Gill,Troy,7,3,4.44,19,10,0,0,5,73,75,41,36,25,75,3,11,0.267
Jordan Marks,USC Upstate,6,7,4.44,15,15,0,0,0,79,84,59,39,19,64,4,5,0.258
Brett Standlee,Oklahoma State,3,2,4.46,19,12,0,0,1,72.2,88,38,36,23,55,1,4,0.299
Sam Messina,Army,8,4,4.46,17,13,0,0,0,76.2,57,48,38,44,70,12,18,0.209
Zach Jackson,Arkansas State,6,5,4.46,14,14,0,0,0,76.2,93,45,38,20,61,4,8,0.289
Jordan Wood,BYU,5,4,4.47,15,15,0,0,0,86.2,94,53,43,29,71,5,13,0.281
Connor Reich,Texas State,8,2,4.47,16,15,1,0,0,90.2,93,48,45,21,90,2,3,0.268
Zach Keenan,Middle Tennessee,4,4,4.48,13,10,0,0,0,60.1,77,36,30,15,51,3,1,0.306
Jason Goe,Morehead State,7,2,4.48,15,12,1,0,0,68.1,75,37,34,11,65,3,2,0.273
Ryan Rue,Hofstra,3,4,4.48,13,13,0,0,0,68.1,64,35,34,20,53,3,6,0.249
Will Mullen,Western Michigan,3,4,4.5,28,0,0,0,4,50,63,28,25,19,36,3,9,0.321
Brett Wicklund,Illinois State,4,4,4.5,15,11,1,1,0,64,76,38,32,8,28,0,3,0.296
Bradley Brehmer,Wright State,7,0,4.5,14,11,0,0,0,72,68,42,36,23,42,6,10,0.247
Sam Finnerty,Alabama,6,8,4.5,14,14,1,1,0,74,80,39,37,12,54,3,2,0.273
Joe Papeo,Rider,0,6,4.5,16,15,0,0,0,62,73,41,31,42,51,6,10,0.3
Austin Higginbotham,Wofford,9,4,4.52,19,14,1,0,0,95.2,97,57,48,23,90,3,12,0.256
Sam Stoutenborough,California,8,5,4.52,15,5,0,0,0,81.2,88,47,41,25,50,5,7,0.277
Austin Perrin,Louisiana,4,5,4.52,15,10,0,0,2,67.2,71,35,34,21,58,4,4,0.272
Cade Smith,Hawaii,2,2,4.53,16,7,0,0,1,59.2,62,33,30,26,54,6,9,0.273
Hunter Davidson,North Alabama,3,4,4.53,19,3,1,0,0,59.2,50,34,30,21,57,9,9,0.24
Brandon Boone,Appalachian State,5,3,4.53,13,12,0,0,0,57.2,56,35,29,33,67,3,9,0.258
Justin Hayden,Evansville,3,3,4.53,12,9,0,0,0,55.2,51,30,28,16,42,1,5,0.239
McCae Allen,Wagner,4,6,4.53,13,10,0,0,0,51.2,57,30,26,35,52,11,6,0.294
Chris Turpin,New Orleans,5,5,4.54,15,14,0,0,0,85.1,95,49,43,12,65,11,14,0.283
Chris Kernen,North Carolina Central,4,4,4.54,18,9,0,0,1,77.1,68,47,39,32,68,8,12,0.232
Zach Pettway,UCLA,2,2,4.55,10,10,0,0,0,63.1,57,34,32,22,60,3,2,0.246
Trent Palmer,Jacksonville,5,4,4.55,21,9,1,1,0,61.1,68,42,31,30,70,1,3,0.286
Hunter Sibley,Iona,2,7,4.55,16,8,0,0,0,57.1,48,39,29,24,54,9,14,0.223
Jackson Svete,LIU Brooklyn,1,5,4.57,16,12,1,0,0,65,68,48,33,32,51,2,3,0.261
Joey Fredrickson,Illinois-Chicago,6,5,4.57,15,15,0,0,0,84.2,102,59,43,19,45,5,3,0.293
Andrew Mitchel,San Jose State,4,5,4.57,15,14,1,0,0,84.2,63,47,43,58,112,6,21,0.208
Sean Hupp,USC Upstate,2,6,4.57,21,7,0,0,3,61,68,39,31,21,38,4,3,0.282
Alec Huertas,LIU Brooklyn,4,4,4.58,14,9,0,0,0,57,72,43,29,25,51,4,4,0.308
Hayden Juenger,Missouri State,2,5,4.58,26,3,0,0,0,57,52,34,29,29,54,3,4,0.245
Hunter Bigge,Harvard,7,2,4.58,12,12,1,0,0,74.2,73,44,38,36,76,0,0,0.267
Tommy Sheehan,Notre Dame,5,6,4.58,15,15,2,0,0,92.1,100,62,47,23,62,7,8,0.271
Jacob Marcus,Richmond,2,4,4.58,15,8,1,0,0,55,47,32,28,28,62,7,7,0.226
Brandon Reitz,North Florida,4,5,4.59,16,15,1,0,0,70.2,83,44,36,20,45,7,11,0.294
Brett Kreyer,Lafayette,4,5,4.59,13,13,3,0,0,70.2,78,51,36,41,58,7,6,0.289
Jake Meyers,Saint Joseph's,2,2,4.59,18,9,0,0,0,49,62,32,25,15,42,7,5,0.308
Murphy OBrien,St. Bonaventure,4,2,4.6,20,0,0,0,0,47,47,27,24,20,40,0,0,0.27
Kaleb Roper,Tulane,7,4,4.6,15,15,2,0,0,88,86,52,45,31,90,2,8,0.258
Sebastian DiMauro,Hartford,3,4,4.6,14,12,0,0,0,58.2,67,37,30,21,44,7,8,0.282
Colton Johnson,Illinois State,4,1,4.61,30,4,0,0,3,68.1,59,38,35,41,62,5,2,0.231
Tyler Laux,Prairie View,3,4,4.61,18,4,3,0,0,68.1,87,59,35,27,49,6,5,0.309
Seth Johnson,Campbell,3,3,4.61,14,11,0,0,0,66.1,64,39,34,30,81,9,1,0.254
Spencer Chirpich,Abilene Christian,7,4,4.62,14,14,0,0,0,78,81,43,40,30,64,0,0,0.278
Cullen McDonald,Northwestern State,5,2,4.62,13,11,1,0,1,64.1,66,37,33,15,40,2,5,0.267
Sam Folks,Tennessee-Martin,5,6,4.63,16,14,1,1,0,83.2,82,49,43,39,59,7,5,0.257
Tyler Robison,Savannah State,3,6,4.63,18,9,2,0,1,79.2,97,52,41,29,39,3,11,0.301
Nick Morreale,Georgetown,4,5,4.63,15,11,0,0,1,68,70,44,35,39,82,7,7,0.266
Zak Kent,VMI,5,5,4.64,15,14,2,0,1,97,87,59,50,30,132,11,6,0.229
Josh Culliver,Minnesota,3,4,4.64,17,13,0,0,0,64,72,39,33,28,51,8,9,0.285
