Player,Team,W,L,ERA,APP,GS,CG,SHO,SV,IP,H,R,ER,BB,SO,WP,HP,OBA
Noah Conlon,UC San Diego,4,9,6.35,16,14,0,0,0,66.2,75,52,47,43,64,18,8,0.28
Thomas House,Eastern Michigan,1,7,6.31,14,14,0,0,0,65.2,64,57,46,47,64,4,8,0.261
Carter Bosch,Georgetown,6,4,4.5,18,11,0,0,0,64,68,41,32,25,64,10,5,0.266
Devin Futrell,Vanderbilt,9,3,3.41,14,13,1,0,0,63.1,53,24,24,13,64,3,6,0.225
Jesse Barron,San Francisco,4,4,6.12,17,10,1,0,0,60.1,71,43,41,22,64,3,14,0.296
Cristian Lopez,Illinois-Chicago,5,4,5.86,16,7,0,0,1,50.2,66,45,33,21,64,6,5,0.304
Charlie McDaniel,Presbyterian,7,4,5.54,14,14,0,0,0,79.2,105,63,49,21,63,4,7,0.309
Dominic Niman,Central Connecticut,4,4,3.62,13,13,0,0,0,77,86,41,31,22,63,2,6,0.286
Joe Mancini,Boston College,4,4,4.7,13,13,1,0,0,76.2,74,48,40,24,63,6,2,0.253
Jay Thompson,Georgia Southern,7,4,3.91,37,0,0,0,6,76,71,37,33,23,63,3,8,0.25
Josh Ibarra,UNLV,6,2,5.73,14,14,1,0,0,70.2,83,54,45,29,63,7,4,0.291
Cameron Doherty,Eastern Illinois,4,5,5.43,14,14,0,0,0,68,96,50,41,13,63,3,4,0.333
Austin King,Alabama State,6,3,5.72,16,16,1,0,0,67.2,81,45,43,38,63,10,5,0.305
Drayton Brown,Northwestern State,5,6,4.43,13,13,0,0,0,67,52,34,33,29,63,9,8,0.218
Frank Doelling,Rider,4,7,5.4,16,15,0,0,0,66.2,78,45,40,31,63,2,6,0.298
Ethan Ross,San Jose State,1,5,7.81,21,15,0,0,0,65.2,70,61,57,65,63,22,20,0.28
Derek Salata,Illinois State,4,6,4.11,13,11,0,0,0,65.2,62,34,30,13,63,3,5,0.249
James Deloatch,Norfolk State,4,5,5.26,13,12,1,0,0,65,66,48,38,45,63,6,10,0.261
J.P. Massey,Minnesota,2,8,6.52,14,12,0,0,0,59.1,64,53,43,39,63,12,6,0.264
Ryan Cabarcas,Florida International,2,3,6.34,15,8,0,0,0,55.1,73,48,39,28,63,10,9,0.315
Ryan Steinhauer,Dayton,3,4,4.39,11,11,1,0,0,53.1,42,34,26,25,63,7,7,0.208
Jaren Zinn,Harvard,3,3,7.5,11,11,0,0,0,42,44,39,35,44,63,22,4,0.282
Luke Malone,UTSA,9,3,2.67,19,11,0,0,2,87.2,81,35,26,14,62,5,7,0.24
Nolan Pender,Bellarmine,3,9,5.13,16,14,2,0,0,86,101,61,49,29,62,17,7,0.291
Jaycob Deese,Houston,5,3,5.19,17,14,1,0,1,85,95,55,49,33,62,10,6,0.282
Mark Faello,Hofstra,7,4,5.15,14,14,2,0,0,80.1,75,55,46,40,62,15,10,0.249
Cade Feeney,North Dakota State,7,3,4.54,14,14,0,0,0,79.1,102,49,40,15,62,4,5,0.311
Carter Sheppard,High Point,6,5,4.66,14,14,0,0,0,77.1,79,49,40,31,62,16,5,0.275
Drew Beam,Tennessee,8,1,2.72,16,15,1,1,0,76,50,26,23,21,62,2,5,0.186
Campbell Ellis,VCU,5,4,3.27,21,21,0,0,0,74.1,70,33,27,21,62,1,7,0.242
Colin Hunter,Sacramento State,5,4,4.75,15,15,1,1,0,72,81,42,38,19,62,9,2,0.288
Zach Maxey,Miami (OH),4,3,2.27,13,13,3,1,0,71.1,65,31,18,24,62,2,6,0.24
Teddy Merritt,High Point,3,6,6.39,16,12,0,0,1,69,82,56,49,37,62,19,4,0.29
Cameron Bye,Wichita State,5,2,3.76,17,10,0,0,0,67,57,36,28,35,62,2,3,0.229
Gordon Ingebritson,UC Irvine,6,0,1.76,32,0,0,0,3,66.2,50,15,13,5,62,0,4,0.207
Logan Whitaker,NC State,2,4,4.73,17,14,0,0,0,66.2,62,42,35,32,62,4,7,0.24
Victor Mederos,Oklahoma State,4,4,5.59,14,13,0,0,0,66,69,44,41,21,62,8,7,0.266
Tyler Kaltreider,VMI,3,7,6.3,19,10,0,0,0,64.1,82,45,45,15,62,2,4,0.308
Mark Manfredi,Dayton,1,2,3.66,13,9,0,0,0,59,45,27,24,15,62,3,10,0.211
Michael Farinelli,Northwestern,6,5,4.43,14,13,3,0,0,87.1,96,49,43,25,61,3,5,0.287
Peyton Calitri,Tennessee Tech,6,5,5.04,15,15,1,0,0,85.2,87,50,48,22,61,8,11,0.269
Enzo Stefanoni,Connecticut,6,1,3.51,17,16,0,0,0,84.2,80,37,33,16,61,0,11,0.252
Jalen Borders,Belmont,5,2,3.04,15,15,0,0,0,80,70,31,27,42,61,5,5,0.247
Gavin Braunecker,Bellarmine,3,7,5.99,15,13,1,0,0,79.2,88,57,53,26,61,8,7,0.288
Brett Porthan,Dixie State,7,4,6.75,16,15,0,0,0,74.2,96,61,56,24,61,3,3,0.314
Griffen Green,Virginia Tech,7,3,4.83,16,16,0,0,0,72.2,83,39,39,26,61,3,6,0.29
Jack Noble,Long Beach State,6,4,3.36,17,10,0,0,0,64.1,60,27,24,20,61,2,6,0.244
Drew McIllwain,Austin Peay,4,6,8.66,15,14,0,0,0,62.1,74,60,60,35,61,7,6,0.297
Adam Falinski,Eastern Michigan,4,5,5.12,12,12,4,0,0,58,59,36,33,31,61,7,2,0.261
Vincent Spizzoucco,Central Connecticut,6,2,3.77,15,8,0,0,3,57.1,58,26,24,21,61,1,5,0.262
Tom Peltier,Canisius,3,3,3.83,22,6,0,0,2,54,55,29,23,30,61,6,14,0.279
Troy Wansing,Purdue,4,4,5.44,15,12,0,0,0,51.1,51,37,31,33,61,6,7,0.258
Ty Fisher,Georgia Southern,6,2,2.58,14,14,1,1,0,87.1,81,30,25,23,60,3,3,0.251
LJ Keevan,UMass Lowell,5,5,4.71,14,14,0,0,0,80.1,94,45,42,21,60,1,7,0.3
Will Kinzeler,Southeastern Louisiana,4,2,3.6,14,14,0,0,0,80,80,38,32,31,60,4,6,0.266
Logan Schmitt,Saint Louis,8,2,3.18,15,14,1,0,0,76.1,72,32,27,16,60,3,10,0.25
Gavin Mortenson,Western Carolina,5,9,6.03,17,15,1,0,0,74.2,95,61,50,27,60,3,13,0.308
Jace Warkentien,Western Illinois,2,7,6.11,13,13,0,0,0,73.2,86,62,50,41,60,4,5,0.297
Trevor LaBonte,Maine,5,4,5.16,15,12,0,0,1,73.1,83,54,42,37,60,2,7,0.279
Luke Helton,Morehead State,3,6,5.65,14,14,1,0,0,73.1,98,58,46,22,60,2,9,0.318
Ryan Feczko,Davidson,10,0,3.21,15,15,0,0,0,73,61,33,26,20,60,4,4,0.223
Joseph King,California,5,3,3.72,15,14,0,0,0,72.2,80,31,30,15,60,13,1,0.285
TJ Fondtain,San Diego State,3,7,4.58,14,13,2,1,0,72.2,66,47,37,31,60,3,4,0.237
Jonathan Clark,San Jose State,2,4,5.27,15,15,0,0,0,68.1,65,45,40,33,60,5,8,0.253
Tony Roca,North Florida,0,6,5.91,15,11,0,0,0,64,75,54,42,38,60,10,7,0.299
Brad Lord,South Florida,3,7,5.25,14,13,1,0,0,61.2,75,51,36,22,60,7,5,0.292
Andrew Abrahamowicz,Bowling Green,2,5,8.45,15,10,2,0,0,59.2,75,61,56,35,60,6,12,0.309
Michael Frias,UC Irvine,5,2,5.19,11,11,0,0,0,59,62,36,34,21,60,3,3,0.276
Hayden Berg,Western Michigan,4,4,6.27,17,0,0,0,2,56,69,45,39,27,60,6,6,0.301
Evan Truitt,Charleston Southern,4,4,4.28,16,10,0,0,0,54.2,55,42,26,23,60,6,2,0.257
Tony Neubeck,Missouri,3,3,5.63,15,9,0,0,0,54.1,52,40,34,29,60,2,6,0.24
Joseph Battaglia,Southern,8,4,3.98,16,16,3,1,0,104,110,63,46,11,59,4,10,0.268
Zach Keenan,Middle Tennessee,4,3,5.61,15,13,2,1,0,78.2,88,60,49,27,59,4,6,0.278
Peter Chronowski,Seattle,4,7,4.75,15,13,0,0,0,77.2,93,50,41,17,59,3,7,0.292
RJ Sales,UNC Wilmington,6,1,3.52,15,15,0,0,0,76.2,76,34,30,37,59,7,4,0.259
Cameron Bratton,UMES,3,6,5.28,13,13,5,2,0,76.2,74,55,45,29,59,7,10,0.258
Josh Sharman,UNLV,4,4,6.3,17,11,1,0,0,74.1,111,69,52,14,59,6,6,0.339
Jared Engman,Washington,4,5,4.15,15,15,0,0,0,73.2,82,37,34,26,59,5,1,0.277
Diego Barrera,Loyola Marymount,4,3,2.85,12,10,2,0,0,72.2,65,29,23,15,59,2,12,0.236
Brady Fuller,Troy,4,3,5.71,14,14,0,0,0,69.1,80,54,44,35,59,6,9,0.289
Brock Gillis,Portland,4,4,4.61,18,13,0,0,0,66.1,59,36,34,30,59,4,11,0.243
Collin Romel,Kent State,5,4,5.48,14,8,0,0,0,65.2,73,47,40,25,59,1,5,0.285
Cooper Adams,Mount St. Mary's,3,6,7.3,13,11,1,0,0,65.1,80,62,53,22,59,2,5,0.3
Gage Schenk,Bowling Green,3,6,5.63,14,14,1,1,0,64,57,44,40,38,59,5,8,0.243
Austin Morgan,USC Upstate,5,2,5.57,18,11,0,0,5,63,64,43,39,31,59,4,6,0.267
Sean Higgins,Columbia,6,3,5.34,14,11,0,0,0,62.1,74,41,37,15,59,3,1,0.29
Luke Patzner,Indiana State,3,4,4.99,14,10,1,0,1,61.1,64,39,34,12,59,1,7,0.263
Ryan Wiltse,Saint Mary's,4,2,5.04,18,8,0,0,1,60.2,59,41,34,23,59,6,9,0.252
Chandler David,Incarnate Word,3,2,5.17,22,5,0,0,5,55.2,53,33,32,29,59,2,6,0.251
Tyler Theriot,Nicholls,7,5,3.72,13,13,2,0,0,87,71,44,36,28,58,5,6,0.22
Mark Timmins,Omaha,2,3,3.31,15,15,0,0,0,81.2,82,32,30,15,58,1,8,0.265
Trevor Harris,Saint Louis,7,6,3.77,15,13,0,0,0,76.1,91,40,32,16,58,5,9,0.3
Tyler Shuck,Florida Gulf Coast,5,5,4.36,14,13,1,1,0,74.1,82,45,36,17,58,6,2,0.279
Tyler Ingram,Illinois-Chicago,4,4,3.79,13,13,0,0,0,71.1,72,36,30,35,58,11,9,0.271
Chris Ludman,Delaware,4,4,4.17,11,11,0,0,0,69,81,43,32,14,58,4,10,0.289
Peter Holden,North Florida,4,3,3.41,17,10,1,1,0,68.2,56,36,26,28,58,3,13,0.221
Brandon Smith,Mississippi State,3,5,5.88,19,8,0,0,0,64.1,76,45,42,17,58,3,5,0.295
Jonathan Gonzalez,Stetson,4,6,5.34,17,9,0,0,1,64,71,44,38,21,58,2,7,0.283
Travis Densmore,Oakland,5,3,6.32,15,11,0,0,0,62.2,81,47,44,22,58,4,5,0.321
Trey Ziegenbein,Missouri State,5,5,5.95,33,1,0,0,2,62,73,47,41,20,58,9,12,0.296
Eric Yost,Northeastern,4,3,2.48,20,10,0,0,1,61.2,51,18,17,17,58,5,3,0.226
