Pitcher,Year,PitcherThrows,Strike_Percent,K_BB,median_Distance,median_ExitSpeed,median_Extension,median_RelSpeed_Fastball,median_RelSpeed_Slider,median_RelSpeed_Curveball,median_RelSpeed_ChangeUp,median_SpinRate_Fastball,median_SpinRate_Slider,median_SpinRate_Curveball,median_SpinRate_ChangeUp,median_SpinAxis_Fastball,median_SpinAxis_Slider,median_SpinAxis_Curveball,median_SpinAxis_ChangeUp,median_PlateLocHeight_Fastball,median_PlateLocHeight_Slider,median_PlateLocHeight_Curveball,median_PlateLocHeight_ChangeUp,median_PlateLocSide_Fastball,median_PlateLocSide_Slider,median_PlateLocSide_Curveball,median_PlateLocSide_ChangeUp,median_VertApprAngle_Fastball,median_VertApprAngle_Slider,median_VertApprAngle_Curveball,median_VertApprAngle_ChangeUp,median_HorzApprAngle_Fastball,median_HorzApprAngle_Slider,median_HorzApprAngle_Curveball,median_HorzApprAngle_ChangeUp,median_Angle_Fastball,median_Angle_Slider,median_Angle_Curveball,median_Angle_ChangeUp,median_InducedVertBreak_Fastball,median_InducedVertBreak_Slider,median_InducedVertBreak_Curveball,median_InducedVertBreak_ChangeUp,median_HorzBreak_Fastball,median_HorzBreak_Slider,median_HorzBreak_Curveball,median_HorzBreak_ChangeUp,ERA
"Power, Jordan",2022,RIGHT,0.509090909090909,1.2,149.05193500000001,84.34902,6.24781,89.17479,82.58058,77.58428,NA,2152.6957205,2337.2079925,2183.799398,NA,213.4515225,102.1237785,63.890568,NA,2.2784750000000003,2.05903,1.88844,NA,0.206055,-0.34359,-0.13168,NA,-5.6375709999999994,-8.075278999999998,-9.061855,NA,-0.133388,-2.4862979999999997,-3.158267,NA,25.826817499999997,10.865122,-15.247816,NA,16.082410000000003,3.1240550000000002,-5.71614,NA,10.942029999999999,-9.110245,-17.38906,NA,5.33
"Powers, Nick",2022,LEFT,0.5449358059914408,2.357142857142857,158.90603,77.20496,5.7881,84.32838,76.99705,71.06489,76.976095,2085.154705,2213.023029,2290.832746,2144.99226,130.044044,120.15682,288.166718,113.736505,2.64469,1.89805,2.23075,1.88199,-0.004,-0.09536,0.2898,-0.421105,-5.038818,-7.076037,-8.532496,-7.0867565,0.671204,1.31008,3.731275,0.18344850000000001,21.632509,29.275441,19.546415500000002,18.227458,16.49568,7.583115,-2.69051,10.11918,-17.55808,-16.451484999999998,14.10237,-19.08694,6.29
"Prager, Ryan",2022,LEFT,0.5617021276595745,2.05,144.93651499999999,79.30636,5.86844,88.86898,80.76485,76.675185,81.942015,2163.5073570000004,2177.449808,2209.0492464999998,1843.7335825,162.211616,270.665078,318.53151549999995,142.77343,2.28156,1.55329,2.1842449999999998,1.7613050000000001,-0.0385,0.0257,0.18029,-0.09712499999999999,-6.122991,-9.117844,-9.5264395,-7.706481500000001,1.042952,2.484353,2.4353759999999998,0.671483,31.263281,11.8126775,8.255919500000001,3.898194,22.29363,1.35146,-3.18372,15.40465,-6.79725,4.58843,3.8548850000000003,-10.95134,5.16
"Priddy, Jeremiah",2022,RIGHT,0.5442477876106194,1.1428571428571428,114.97385,77.02752,6.1711,87.85552999999999,80.486,77.14438,NA,2364.350532,2323.91507,2308.8836325,NA,214.527714,128.697234,42.453455500000004,NA,3.0487200000000003,2.0553,1.664215,NA,-0.07153,-0.06256,0.28085,NA,-4.5875995,-7.265205,-9.337626499999999,NA,-1.3477139999999999,-2.541834,-2.6123955,NA,30.115426,4.5880885,6.737132,NA,16.519755,3.91264,-8.483505000000001,NA,10.918765,-2.85673,-8.818525000000001,NA,5.23
"Raby, Patrick",2019,RIGHT,0.5647743813682679,2.210526315789474,202.8526745,84.23228751,6.4873538795000005,89.001782195,78.13308353,77.86748784,79.25326764,1939.4186439999999,2522.9481385,2544.0316935,1477.154405,197.91396685,93.66763598,63.075202,210.0744394,2.560459046,0.8005022420000001,1.564742898,2.031779743,-0.40949953699999997,-0.5012908355,-0.409690847,0.073079901,-5.1919929855,-9.844646510499999,-9.422728216,-6.649228101,-0.52863562,-1.5994099375,-1.493954491,-0.122330225,22.81764952,15.854495499999999,15.42404411,18.50112315,18.86077277,-0.2707436945,-2.83984628,14.31127667,6.131248084,-3.2701552275,-2.028016787,8.273397633,3.08
"Rackers, Jason",2022,RIGHT,0.4740740740740741,3.75,163.50227,81.62465,6.4893,90.92761,80.66301,NA,80.34359,2199.275047,2031.447446,NA,1875.86796,227.3856525,148.470049,NA,237.067847,2.2551300000000003,1.7853,NA,1.199525,0.092595,-0.51614,NA,0.53396,-5.9828335,-8.041978,NA,-8.2999415,0.1214325,-2.02242,NA,0.494067,27.291565499999997,0.2863835,NA,0.281875,14.70438,6.2228,NA,11.590305,14.902095,-2.71362,NA,15.52796,4.62
"Raeth, Stefan",2022,RIGHT,0.47692307692307695,7.833333333333333,134.723515,82.10113,5.72377,89.79922,77.82701,NA,NA,2144.533907,2532.7655045,NA,NA,215.82704,96.230675,NA,NA,2.44881,1.64401,NA,NA,-0.27184,-0.72972,NA,NA,-5.193287,-8.217758,NA,NA,-0.520282,-3.793129,NA,NA,26.18896,15.1804,NA,NA,19.56576,3.06063,NA,NA,13.17225,-15.32017,NA,NA,3.39
"Rajcic, Max",2022,RIGHT,0.49714285714285716,6.7,121.850335,82.006135,5.85974,91.21215,82.81902,79.7799,84.80434,2139.002483,2426.501093,2403.385081,2022.333489,215.372406,83.229325,21.343939,227.11829,2.50511,2.03645,1.72287,1.74076,-0.41298,-0.6261,-0.40074,-0.19332,-5.687834,-8.561913,-10.414984,-6.979619,-0.246018,-2.491472,-2.057149,0.67899,21.91049,11.723035,6.9430415,11.46793,18.11962,0.55677,-14.91694,16.83753,12.13757,-4.26288,-6.58339,16.68383,3.28
"Ralston, Jack",2019,RIGHT,0.4729064039408867,5.5,82.00265392,88.946421415,6.1593161925,92.11226514500001,NA,81.22537008,86.12741685,2134.8288815,NA,2183.802818,1016.019721,180.23669755,NA,36.77975085,234.3777471,2.57778389,NA,2.457715349,1.844139588,0.129784886,NA,0.385934926,0.305424641,-6.625522755,NA,-9.869291738,-8.322801543,-1.3921854405,NA,-2.143081992,-1.101089561,19.784244405,NA,-11.33036044,-5.9237993065,13.60308171,NA,-10.09470453,4.3055791,0.0618858585,NA,-6.730339184,6.546983825,2.66
"Ramage, Kole",2022,RIGHT,0.5149384885764499,2.3333333333333335,46.579255,84.95575,5.32806,90.9631,84.23137,79.973715,85.5017,2128.181401,2509.1452965,2600.6603835,1814.225352,212.678222,68.6792265,26.923802000000002,244.8885505,2.1264,1.521025,1.2857150000000002,0.85629,0.2216,-0.95585,-0.386795,-0.052805,-6.49394,-9.1692695,-10.528945,-9.0078215,0.038222,-2.4767884999999996,-1.7601965000000002,-0.496736,4.4955385,4.782782,-11.2473215,24.864808,14.0715,-1.3462800000000001,-11.374945,5.731949999999999,8.69693,-5.466715000000001,-6.1335049999999995,10.00589,4.8
"Ramirez, Luis",2022,RIGHT,0.49047619047619045,5.333333333333333,40.403,78.94113,5.42327,92.37560500000001,79.39386,NA,83.55205,2215.122853,2210.772603,NA,2120.648798,248.161096,58.614095,NA,267.896416,2.1116099999999998,1.55158,NA,1.82312,-0.044885,-0.90297,NA,0.32144,-6.561394,-9.55916,NA,-7.834709,-0.0920205,-4.038321,NA,0.016109,4.348325,4.831964,NA,-2.0105685,7.2952200000000005,-8.54713,NA,1.75539,15.363669999999999,-17.19454,NA,16.35851,2.14
